9,6,0.1,5.5
9.1,5.831,0.1,5.5
3,9,0.3,2.5
3.1,8.95,0.3,2.5
7.5,6,0.5,1
7.37,5.9,0.5,1
18,10,0.2,5.5
18,9.9,0.2,5.5
4.5,5,0.2,7
,,,
16.5,2,0.3,4
16.57,2.43,0.3,4
6,5,0.5,4
5.97,4.9,0.5,4
12,4,0.3,7
11.96,4.1,0.3,6.98
18,4,0.1,2.5
18,4.1,0.1,2.51
18,10,0.2,4
18.4,10,0.2,4
21,5,0.4,7
21,4.94,0.4,7
10.5,2,0.2,7
10.5,2.08,0.2,7
7.5,9,0.4,1
7.5,9,0.4,1.05
13.5,8,0.4,8.5
13.35,8.2,0.4,8.5
16.5,7,0.4,2.5
16.3,7.13,0.4,2.5
13.5,5,0.3,10
13.5,4.8,0.3,10
7.5,6,0.2,5.5
,,,
7.5,9,0.6,2.5
7.43,9,0.6,2.49
6,9,0.4,4
6,8.9,0.4,4
21,10,0.3,8.5
21,9.68,0.3,8.52
18,2,0.5,1
17.89,2.34,0.5,1
13.5,2,0.6,7
13.53,1.97,0.6,7
9,5,0.4,1
9.04,4.83,0.4,1.03
16.5,7,0.2,7
16.37,7.16,0.2,7
13.5,5,0.2,7
14.1,3.92,0.2,7
16.5,8,0.2,4
16.49,8.08,0.2,4
19.5,3,0.2,5.5
19.76,1.64,0.2,5.49
18,2,0.5,8.5
18,1.95,0.5,8.49
18,2,0.2,4
17.8,2.89,0.2,4
7.5,3,0.5,4
7.62,3,0.498,3.9933
24,2,0.1,10
23.85,2.09,0.1,10
18,2,0.4,10
18,1.42,0.4,10
19.5,8,0.2,10
19.85,7.6,0.2,10
6,6,0.1,10
5.94,6,0.1,10
21,2,0.3,8.5
20.69,4.4,0.3,8.5
13.5,4,0.1,1
13.83,3.07,0.1,1
22.5,4,0.5,8.5
22.4,4.44,0.5,8.5
10.5,2,0.2,1
10.2,2.568,0.2,1
9,4,0.4,8.5
9.07,3.85,0.4,8.52
13.5,2,0.6,1
13.45,2.02,0.6,1.02
6,9,0.2,8.5
4.48,8.4,0.2,8.54
10.5,1,0.3,5.5
10.42,1.67,0.3,5.5
3,1,0.4,4
3,1,0.4,3.9
16.5,3,0.3,5.5
16.59,3.13,0.3,5.5
21,9,0.2,5.5
21,9.25,0.2,5.5
21,6,0.6,7
21.1,6.16,0.6,7
3,8,0.1,4
3,8.1,0.1,4
6,7,0.4,10
6,7,0.4,10
9,9,0.4,8.5
9.056,9.07,0.4,8.5
6,4,0.6,7
6,3.93,0.6,6.94
7.5,4,0.4,1
7.59,3.884,0.4,1.04
4.5,8,0.3,4
4.443,8.1,0.3,4
6,7,0.3,4
6.16,7.04,0.3,4
10.5,7,0.2,8.5
10.4,7.09,0.2,8.5
18,4,0.5,5.5
17.96,4.02,0.5,5.52
12,4,0.5,10
12.09,4.07,0.5,10
24,5,0.2,5.5
23.5,5.34,0.2,5.5
9,6,0.1,7
8.8,6.2,0.1,7
12,5,0.2,7
12.4,4.6,0.2,7
7.5,7,0.6,10
7.54,7.04,0.6,10
4.5,2,0.6,7
4.54,2,0.6,7
9,9,0.1,10
8.6,9.2,0.1,10
12,8,0.5,8.5
12.3,7.95,0.5,8.5
12,10,0.5,10
12,10,0.5,9.95
12,10,0.3,10
12.15,9.95,0.3,10
3,5,0.5,4
3.08,5.08,0.5,4
3,6,0.4,4
3,6.13,0.4,4
3,8,0.4,5.5
3.2,8.28,0.4,5.4
9,6,0.4,8.5
9.08,6.03,0.4,8.5
15,1,0.5,7
15.06,1,0.5,7
18,4,0.4,4
18,3.96,0.4,4
18,9,0.6,5.5
18.3,8.72,0.6,5.5
12,4,0.4,4
12,4.03,0.4,4
12,8,0.4,1
12.3,7.63,0.4,1
4.5,2,0.1,5.5
4.89,1.22,0.1,5.52
18,9,0.6,10
17.8,9.2,0.6,10
22.5,4,0.3,7
22.5,3.9,0.3,7
9,7,0.5,5.5
9,7.09,0.5,5.473
15,5,0.3,10
15,5.05,0.3,10
9,10,0.5,2.5
9,10,0.5,2.5
21,7,0.6,4
21,7,0.6,4
18,4,0.4,5.5
18.3,3.15,0.4,5.5
18,5,0.5,8.5
18.12,4.8,0.5,8.5
4.5,7,0.1,1
4.5,7,0.1,1
3,4,0.1,10
3,4,0.1,10
6,10,0.6,1
6.13,10,0.6,1
3,10,0.1,1
3,9.98,0.1,1
24,6,0.1,7
22.4,8.88,0.1,7
21,4,0.2,10
21.57,1.46,0.2,10
24,10,0.4,5.5
24,10,0.4,5.5
21,4,0.4,10
21,3.93,0.4,10
24,1,0.4,5.5
23.7,2.94,0.4,5.5
7.5,9,0.4,5.5
7.6,9.17,0.4,5.5
21,2,0.3,2.5
20.9,3.05,0.3,2.5
12,4,0.6,10
